cluster_id,gaia_name,catalogue_file,n_sources,n_finite_pm,n_finite_phot,n_p50,n_p70,n_p90,n_p95,n_primary_q2_p90,median_density_arcmin2,p90_density_arcmin2,median_g,median_bp_rp,median_pmra,median_pmdec
NGC6637,NGC_6637_M_69,catalogues/NGC_6637_M_69.txt,9558,9558,7781,2640,2325,1701,1277,415,110.5,191.3,19.04815,1.0828,-3.09155,-5.43985
NGC6638,NGC_6638,catalogues/NGC_6638.txt,2459,2459,1673,688,540,326,252,92,178.6,336.6400000000001,18.8506,1.4313,-2.4627,-4.2822
NGC6642,NGC_6642,catalogues/NGC_6642.txt,2233,2233,1588,640,512,322,221,83,167.0,260.9,18.9498,1.41385,-0.8975,-4.1274
NGC6652,NGC_6652,catalogues/NGC_6652.txt,3880,3880,2888,1680,1588,1323,1113,387,138.0,332.11,19.248199999999997,1.0257,-4.5222999999999995,-4.32535
NGC6656,NGC_6656_M_22,catalogues/NGC_6656_M_22.txt,194072,194072,149308,36333,36013,35296,34767,8451,149.0,179.1,19.159,1.3195,-1.3636,-5.24375
NGC6681,NGC_6681_M_70,catalogues/NGC_6681_M_70.txt,10679,10679,8771,3759,3395,2544,1978,763,84.83,249.4,19.2403,0.9705,0.275,-4.722
NGC6712,NGC_6712,catalogues/NGC_6712.txt,12097,12097,9183,2884,2753,2465,2214,599,140.4,229.73999999999995,19.0161,1.3825,-1.0467,-4.5746
NGC6715,NGC_6715_M_54,catalogues/NGC_6715_M_54.txt,9975,9975,8302,5594,5207,4187,3507,1710,76.04,258.34000000000015,19.1871,1.10535,-2.5762,-1.6529
NGC6717,NGC_6717_Pal9,catalogues/NGC_6717_Pal9.txt,2588,2588,2087,1377,1227,889,664,289,84.91499999999999,313.55000000000047,19.1056,1.0959,-2.9772499999999997,-4.988250000000001
NGC6723,NGC_6723,catalogues/NGC_6723.txt,15708,15708,13141,8818,8431,7487,6628,2623,80.495,241.5,19.144550000000002,0.9487,0.85345,-2.6178
NGC6749,NGC_6749,catalogues/NGC_6749.txt,7537,7537,6324,2497,1914,1018,669,368,82.77,212.64000000000004,19.5634,2.44165,-2.4225,-5.3906
NGC6752,NGC_6752,catalogues/NGC_6752.txt,54820,54820,47472,41180,40644,39286,38055,21066,80.905,280.6,18.99,0.9428,-3.0703,-4.0899
NGC6760,NGC_6760,catalogues/NGC_6760.txt,13595,13595,11063,2508,1830,1068,804,344,110.8,170.1,19.5018,1.7614,-1.6528,-4.2989
NGC6779,NGC_6779_M_56,catalogues/NGC_6779_M_56.txt,13064,13064,10560,6573,6397,6031,5703,2392,81.03,433.87000000000006,19.6422,1.1061,-2.0597000000000003,0.2062
NGC6809,NGC_6809_M_55,catalogues/NGC_6809_M_55.txt,30889,30889,25088,24521,24332,23845,23330,9508,118.7,246.4,18.9903,0.9265,-3.3588,-9.2379
NGC6838,NGC_6838_M_71,catalogues/NGC_6838_M_71.txt,34560,34560,28861,9275,8381,6828,5821,3360,96.24,249.8,19.276,1.249,-3.0955,-4.233750000000001
NGC6864,NGC_6864_M_75,catalogues/NGC_6864_M_75.txt,2994,2994,2476,2164,2082,1893,1713,691,89.25,396.0100000000001,19.24825,1.10895,-0.5936,-2.84815
NGC6934,NGC_6934,catalogues/NGC_6934.txt,4614,4614,3705,3261,3050,2521,2121,984,107.19999999999999,389.80999999999995,19.80005,0.9005,-2.6174,-4.6998
NGC6981,NGC_6981_M_72,catalogues/NGC_6981_M_72.txt,3510,3510,2681,2996,2944,2783,2640,1103,166.7,417.9,19.879150000000003,0.7779,-1.2479,-3.39435
NGC7006,NGC_7006,catalogues/NGC_7006.txt,1224,1224,989,640,614,568,540,208,25.07,547.07,19.00715,1.068,-0.29145,-0.92235
NGC7078,NGC_7078_M_15,catalogues/NGC_7078_M_15.txt,19770,19770,16826,15698,15294,14167,13172,7268,109.0,270.7,19.63495,0.7945,-0.6656,-3.84395
NGC7089,NGC_7089_M_2,catalogues/NGC_7089_M_2.txt,13189,13189,11188,9685,9477,8863,8350,4583,114.9,215.7,19.4455,0.77615,3.4017,-2.2262
NGC7099,NGC_7099_M_30,catalogues/NGC_7099_M_30.txt,9770,9770,8121,8460,8345,8057,7760,4231,120.6,284.61000000000007,19.4322,0.7364,-0.7107,-7.2791
NGC7492,NGC_7492,catalogues/NGC_7492.txt,531,531,509,468,465,458,444,243,33.68,81.02,19.8713,0.8098,0.7601,-2.3395
PAL01,Pal_1,catalogues/Pal_1.txt,217,217,203,126,118,108,104,80,7.506,187.4200000000001,19.8541,1.0303,-0.082,0.1877
PAL10,Pal_10,catalogues/Pal_10.txt,3358,3358,3036,759,655,459,351,216,57.745,130.7,19.829749999999997,2.46155,-2.8258,-5.8283000000000005
PAL11,Pal_11,catalogues/Pal_11.txt,1354,1354,1272,628,574,438,334,243,30.369999999999997,117.07000000000001,19.8399,1.26155,-1.7687499999999998,-4.99145
PAL12,Pal_12,catalogues/Pal_12.txt,501,501,479,394,387,372,355,262,24.0,122.9,20.0523,0.7601,-3.1855,-3.4687
PAL13,Pal_13,catalogues/Pal_13.txt,103,103,103,72,72,70,68,51,7.018,49.49399999999999,19.873,0.9806,1.684,0.0092
PAL14,Pal_14,catalogues/Pal_14.txt,229,229,228,95,92,85,79,75,2.278,15.728000000000002,19.7279,1.07035,-0.8785,-0.8454
PAL15,Pal_15,catalogues/Pal_15.txt,393,393,392,152,144,119,101,104,7.306,19.192,19.8948,1.42845,-0.8875,-1.5964
PAL02,Pal_2,catalogues/Pal_2.txt,607,607,508,469,443,377,329,136,71.54,321.58,19.7018,2.3407999999999998,1.0303,-1.589
PAL03,Pal_3,catalogues/Pal_3.txt,85,85,83,61,61,60,60,37,7.401,41.83200000000002,19.8995,1.0764,-0.0618,-0.2638
PAL04,Pal_4,catalogues/Pal_4.txt,117,117,112,96,96,95,95,71,15.92,74.508,20.2158,1.09795,-0.1576,-0.5507
PAL05,Pal_5,catalogues/Pal_5.txt,824,824,813,490,473,423,378,308,5.116,13.823000000000004,20.0289,0.9074,-2.7546999999999997,-2.77155
PAL06,Pal_6,catalogues/Pal_6.txt,5377,5377,3819,479,421,355,315,62,178.0,245.14000000000004,18.8261,3.0396,-2.9994,-5.0649
PAL08,Pal_8,catalogues/Pal_8.txt,6353,6353,5052,892,690,438,346,127,112.9,207.48000000000002,19.352,1.4353,-2.0015,-5.139
PFLEIDERER_2,Pfleiderer_2,catalogues/Pfleiderer_2.txt,865,865,830,155,121,72,60,59,28.01,46.868,19.786,2.02185,-2.3556,-4.2758
