cluster_id,hacks_bin,hacks_n_stars,radius_arcsec,hst_sigma_pm_masyr,hst_sigma_pm_err_masyr,gaia_sigma_pm_masyr,gaia_sigma_pm_err_masyr,sigma_diff_masyr,delta_frac,z_raw,z_corrected,hst_sigma_radial_masyr,hst_sigma_radial_err_masyr,hst_sigma_tangential_masyr,hst_sigma_tangential_err_masyr,hst_beta_pm,median_gaia_density_arcmin2,n_apogee_rows
NGC4833,5,171,39.5139,0.193,0.007,0.187947240976546,0.0211952653669783,-0.0050527590234543,-0.0261800985671209,-0.226365171558596,-0.226365171558596,0.2,0.011,0.186,0.011,0.1351,70.44,0
NGC4833,6,171,47.1037,0.194,0.008,0.186305176473014,0.0193173778854372,-0.0076948235269859,-0.0396640387988966,-0.368025502973005,-0.368025502973005,0.197,0.011,0.19,0.011,0.0698033961194569,70.44,0
NGC4833,7,171,53.6754,0.175,0.007,0.18465652974757,0.0176821847500181,0.0096565297475699,0.0551801699861141,0.507774689592793,0.507774689592793,0.174,0.01,0.18,0.01,-0.070154577883472,70.44,0
NGC4833,8,171,60.6403,0.179,0.007,0.183014047787514,0.0161695320786603,0.0040140477875143,0.0224248479749407,0.227815920719065,0.227815920719065,0.159,0.009,0.198,0.011,-0.550729797080812,70.44,0
NGC4833,9,171,67.2018,0.174,0.007,0.181503070762252,0.0148943186190951,0.0075030707622515,0.043121096334779,0.455913084888804,0.455913084888804,0.183,0.01,0.165,0.009,0.187046492878258,70.44,0
NGC4833,10,171,74.4309,0.165,0.007,0.179589492512044,0.013610478033516,0.0145894925120444,0.0884211667396631,0.953245835361152,0.953245835361152,0.17,0.01,0.159,0.009,0.12522491349481,70.44,0
NGC4833,11,171,81.3692,0.171,0.007,0.17774966059094,0.0125477904419314,0.0067496605909399,0.0394716993622218,0.469761693222768,0.469761693222768,0.171,0.01,0.17,0.01,0.0116617078759276,70.44,0
NGC4833,12,170,91.1899,0.178,0.007,0.174864086355915,0.0112555783233765,-0.0031359136440849,-0.0176174923824997,-0.236588151788707,-0.236588151788707,0.175,0.01,0.181,0.01,-0.0697469387755103,70.44,0
NGC5024,2,231,14.6974,0.076,0.003,0.0697669496558074,0.0097493870995213,-0.0062330503441925,-0.0820138203183233,-0.611052389972563,-0.611052389972563,0.072,0.004,0.078,0.004,-0.173611111111111,81.56,41
NGC5024,3,231,20.7294,0.079,0.003,0.0690174171141821,0.0090826811781133,-0.0099825828858178,-0.126361808681239,-1.0436238920188,-1.0436238920188,0.078,0.004,0.079,0.004,-0.0258053911900067,81.56,41
NGC5024,4,231,25.3698,0.074,0.003,0.0685034111496317,0.008639525882669,-0.0054965888503683,-0.0742782277076801,-0.60101122927432,-0.60101122927432,0.07,0.004,0.079,0.004,-0.273673469387755,81.56,41
